case_id,red_speed,red_tr,red_br,blue_tr,blue_br,red_total,blue_total,diff,winner,red_transfer,red_tower,red_mustika,blue_transfer,blue_tower,blue_mustika,red_sanctuary_at,blue_sanctuary_at,red_mustika_at,blue_mustika_at,mustika_owner,red_complete_towers,blue_complete_towers,red_delivered_earth,red_delivered_sky,blue_delivered_earth,blue_delivered_sky
1,同等,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,L1最速サンクチュアリ,180,180,0,draw,40,140,0,40,140,0,150.4,141.4,,,,2,2,5,3,5,3
2,同等,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,L2高得点寄せ,180,250,-70,blue,40,140,0,40,210,0,150.4,150.2,,,,2,2,5,3,5,3
3,同等,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,共有エリア先取り,140,410,-270,blue,40,100,0,30,130,250,,102.2,,139.6,blue,1,2,5,3,4,2
4,同等,BR要求に追従,L1最速サンクチュアリ,BR要求に追従,スカイ反転圧力,180,180,0,draw,40,140,0,40,140,0,150.4,141.4,,,,2,2,5,3,5,3
5,同等,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,L1最速サンクチュアリ,180,440,-260,blue,40,140,0,50,140,250,150.4,131.8,,175.8,blue,2,2,5,3,7,3
6,同等,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,L2高得点寄せ,180,510,-330,blue,40,140,0,50,210,250,150.4,137.8,,178,blue,2,2,5,3,7,3
7,同等,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,共有エリア先取り,140,420,-280,blue,40,100,0,40,130,250,,102.2,,139.6,blue,1,2,5,3,6,2
8,同等,BR要求に追従,L1最速サンクチュアリ,Earth先行補給,スカイ反転圧力,180,440,-260,blue,40,140,0,50,140,250,150.4,131.8,,175.8,blue,2,2,5,3,7,3
9,同等,BR要求に追従,L1最速サンクチュアリ,Sky先置き準備,L1最速サンクチュアリ,180,430,-250,blue,40,140,0,40,140,250,150.4,133.2,,177.2,blue,2,2,5,3,5,3
10,同等,BR要求に追従,L1最速サンクチュアリ,Sky先置き準備,L2高得点寄せ,180,250,-70,blue,40,140,0,40,210,0,150.4,143,,,,2,2,5,3,5,3
11,同等,BR要求に追従,L1最速サンクチュアリ,Sky先置き準備,共有エリア先取り,140,415,-275,blue,40,100,0,35,130,250,,112.6,,150,blue,1,2,5,3,4,3
12,同等,BR要求に追従,L1最速サンクチュアリ,Sky先置き準備,スカイ反転圧力,180,430,-250,blue,40,140,0,40,140,250,150.4,133.2,,177.2,blue,2,2,5,3,5,3
13,同等,BR要求に追従,L2高得点寄せ,BR要求に追従,L1最速サンクチュアリ,250,180,70,red,40,210,0,40,140,0,156.2,141.4,,,,2,2,5,3,5,3
14,同等,BR要求に追従,L2高得点寄せ,BR要求に追従,L2高得点寄せ,250,250,0,draw,40,210,0,40,210,0,156.2,150.2,,,,2,2,5,3,5,3
15,同等,BR要求に追従,L2高得点寄せ,BR要求に追従,共有エリア先取り,210,140,70,red,30,180,0,40,100,0,171.4,143.8,,,,2,1,4,2,5,3
16,同等,BR要求に追従,L2高得点寄せ,BR要求に追従,スカイ反転圧力,250,180,70,red,40,210,0,40,140,0,156.2,141.4,,,,2,2,5,3,5,3
17,同等,BR要求に追従,L2高得点寄せ,Earth先行補給,L1最速サンクチュアリ,250,440,-190,blue,40,210,0,50,140,250,156.2,131.8,,175.8,blue,2,2,5,3,7,3
18,同等,BR要求に追従,L2高得点寄せ,Earth先行補給,L2高得点寄せ,250,510,-260,blue,40,210,0,50,210,250,156.2,137.8,,178,blue,2,2,5,3,7,3
19,同等,BR要求に追従,L2高得点寄せ,Earth先行補給,共有エリア先取り,425,190,235,red,35,140,250,50,140,0,135,150.4,178.2,,red,1,2,4,3,7,3
20,同等,BR要求に追従,L2高得点寄せ,Earth先行補給,スカイ反転圧力,250,440,-190,blue,40,210,0,50,140,250,156.2,131.8,,175.8,blue,2,2,5,3,7,3
21,同等,BR要求に追従,L2高得点寄せ,Sky先置き準備,L1最速サンクチュアリ,250,430,-180,blue,40,210,0,40,140,250,156.2,133.2,,177.2,blue,2,2,5,3,5,3
22,同等,BR要求に追従,L2高得点寄せ,Sky先置き準備,L2高得点寄せ,250,250,0,draw,40,210,0,40,210,0,156.2,143,,,,2,2,5,3,5,3
23,同等,BR要求に追従,L2高得点寄せ,Sky先置き準備,共有エリア先取り,445,160,285,red,35,160,250,40,120,0,131.2,150.8,174.4,,red,1,2,4,3,5,3
24,同等,BR要求に追従,L2高得点寄せ,Sky先置き準備,スカイ反転圧力,250,430,-180,blue,40,210,0,40,140,250,156.2,133.2,,177.2,blue,2,2,5,3,5,3
25,同等,BR要求に追従,共有エリア先取り,BR要求に追従,L1最速サンクチュアリ,410,140,270,red,30,130,250,40,100,0,102.6,,137,,red,2,1,4,2,5,3
26,同等,BR要求に追従,共有エリア先取り,BR要求に追従,L2高得点寄せ,140,220,-80,blue,40,100,0,40,180,0,146.8,159.4,,,,1,2,5,3,5,3
27,同等,BR要求に追従,共有エリア先取り,BR要求に追従,共有エリア先取り,95,370,-275,blue,25,70,0,30,90,250,,102.2,,139.6,blue,1,1,3,2,4,2
28,同等,BR要求に追従,共有エリア先取り,BR要求に追従,スカイ反転圧力,410,140,270,red,30,130,250,40,100,0,102.6,,137,,red,2,1,4,2,5,3
29,同等,BR要求に追従,共有エリア先取り,Earth先行補給,L1最速サンクチュアリ,410,150,260,red,30,130,250,50,100,0,102.6,,137,,red,2,1,4,2,7,3
30,同等,BR要求に追従,共有エリア先取り,Earth先行補給,L2高得点寄せ,140,470,-330,blue,30,110,0,50,170,250,156,137.8,,178,blue,2,1,4,2,7,3
31,同等,BR要求に追従,共有エリア先取り,Earth先行補給,共有エリア先取り,95,380,-285,blue,25,70,0,40,90,250,,102.2,,139.6,blue,1,1,3,2,6,2
32,同等,BR要求に追従,共有エリア先取り,Earth先行補給,スカイ反転圧力,410,150,260,red,30,130,250,50,100,0,102.6,,137,,red,2,1,4,2,7,3
33,同等,BR要求に追従,共有エリア先取り,Sky先置き準備,L1最速サンクチュアリ,410,140,270,red,30,130,250,40,100,0,102.6,,137,,red,2,1,4,2,5,3
34,同等,BR要求に追従,共有エリア先取り,Sky先置き準備,L2高得点寄せ,150,210,-60,blue,40,110,0,40,170,0,156,143,,,,2,1,5,3,5,3
35,同等,BR要求に追従,共有エリア先取り,Sky先置き準備,共有エリア先取り,370,100,270,red,30,90,250,30,70,0,102.6,,137,,red,1,1,4,2,3,3
36,同等,BR要求に追従,共有エリア先取り,Sky先置き準備,スカイ反転圧力,410,140,270,red,30,130,250,40,100,0,102.6,,137,,red,2,1,4,2,5,3
37,同等,BR要求に追従,スカイ反転圧力,BR要求に追従,L1最速サンクチュアリ,220,140,80,red,40,180,0,40,100,0,102.6,,,,,3,1,5,3,5,3
38,同等,BR要求に追従,スカイ反転圧力,BR要求に追従,L2高得点寄せ,180,250,-70,blue,40,140,0,40,210,0,150.4,150.2,,,,2,2,5,3,5,3
39,同等,BR要求に追従,スカイ反転圧力,BR要求に追従,共有エリア先取り,215,330,-115,blue,35,180,0,30,50,250,114.8,102.2,,139.6,blue,3,0,5,2,4,2
40,同等,BR要求に追従,スカイ反転圧力,BR要求に追従,スカイ反転圧力,220,140,80,red,40,180,0,40,100,0,102.6,,,,,3,1,5,3,5,3
