id,red_br,blue_br,red_speed,blue_speed,red_score,blue_score,winner,reason,red_mustika,blue_mustika,red_normal_single,blue_normal_single
T5B5-T5B7-r0.5-b1,mustika-fast,second-layer,0.5,1,455,590,blue,score,250,0,0,0
T5B5-T5B7-r0.75-b1,mustika-fast,second-layer,0.75,1,705,385,red,score,250,0,0,0
T5B5-T5B7-r1-b0.5,mustika-fast,second-layer,1,0.5,670,260,red,score,250,0,0,0
T5B5-T5B7-r1-b0.75,mustika-fast,second-layer,1,0.75,685,380,red,score,250,0,0,0
T5B5-T5B7-r1-b1,mustika-fast,second-layer,1,1,510,605,blue,score,250,0,0,0
T5B5-T5B8-r0.5-b1,mustika-fast,score-adaptive,0.5,1,500,365,red,score,250,0,0,0
T5B5-T5B8-r0.75-b1,mustika-fast,score-adaptive,0.75,1,625,420,red,score,250,0,0,0
T5B5-T5B8-r1-b0.5,mustika-fast,score-adaptive,1,0.5,555,410,red,score,250,0,0,0
T5B5-T5B8-r1-b0.75,mustika-fast,score-adaptive,1,0.75,590,410,red,score,250,0,0,0
T5B5-T5B8-r1-b1,mustika-fast,score-adaptive,1,1,590,450,red,score,250,0,0,0
T5B5-T5B9-r0.5-b1,mustika-fast,endgame,0.5,1,225,575,blue,score,0,250,0,1
T5B5-T5B9-r0.75-b1,mustika-fast,endgame,0.75,1,620,310,red,score,250,0,0,0
T5B5-T5B9-r1-b0.5,mustika-fast,endgame,1,0.5,295,505,blue,score,0,250,0,0
T5B5-T5B9-r1-b0.75,mustika-fast,endgame,1,0.75,335,530,blue,score,0,250,0,0
T5B5-T5B9-r1-b1,mustika-fast,endgame,1,1,535,310,red,score,250,0,0,1
T5B6-T5B7-r0.5-b1,earth-late,second-layer,0.5,1,245,825,blue,score,0,250,0,0
T5B6-T5B7-r0.75-b1,earth-late,second-layer,0.75,1,720,405,red,score,250,0,0,0
T5B6-T5B7-r1-b0.5,earth-late,second-layer,1,0.5,295,765,blue,score,0,250,0,0
T5B6-T5B7-r1-b0.75,earth-late,second-layer,1,0.75,355,720,blue,score,0,250,0,0
T5B6-T5B7-r1-b1,earth-late,second-layer,1,1,515,550,blue,score,0,250,0,0
T5B6-T5B8-r0.5-b1,earth-late,score-adaptive,0.5,1,460,645,blue,score,0,250,0,0
T5B6-T5B8-r0.75-b1,earth-late,score-adaptive,0.75,1,630,500,red,score,250,0,0,0
T5B6-T5B8-r1-b0.5,earth-late,score-adaptive,1,0.5,510,390,red,score,0,250,0,0
T5B6-T5B8-r1-b0.75,earth-late,score-adaptive,1,0.75,545,465,red,score,0,250,0,0
T5B6-T5B8-r1-b1,earth-late,score-adaptive,1,1,465,620,blue,score,0,250,0,0
T5B6-T5B9-r0.5-b1,earth-late,endgame,0.5,1,405,605,blue,score,0,250,0,1
T5B6-T5B9-r0.75-b1,earth-late,endgame,0.75,1,565,490,red,score,0,250,0,1
T5B6-T5B9-r1-b0.5,earth-late,endgame,1,0.5,510,555,blue,score,0,250,0,0
T5B6-T5B9-r1-b0.75,earth-late,endgame,1,0.75,430,705,blue,score,0,250,0,0
T5B6-T5B9-r1-b1,earth-late,endgame,1,1,430,750,blue,score,0,250,0,0
T5B7-T5B5-r0.5-b1,second-layer,mustika-fast,0.5,1,330,565,blue,score,0,250,0,0
T5B7-T5B5-r0.75-b1,second-layer,mustika-fast,0.75,1,380,660,blue,score,0,250,0,0
T5B7-T5B5-r1-b0.5,second-layer,mustika-fast,1,0.5,535,495,red,score,0,250,0,0
T5B7-T5B5-r1-b0.75,second-layer,mustika-fast,1,0.75,365,665,blue,score,0,250,0,0
T5B7-T5B5-r1-b1,second-layer,mustika-fast,1,1,465,565,blue,score,0,250,0,0
T5B7-T5B6-r0.5-b1,second-layer,earth-late,0.5,1,685,385,red,score,250,0,0,0
T5B7-T5B6-r0.75-b1,second-layer,earth-late,0.75,1,800,335,red,score,250,0,0,0
T5B7-T5B6-r1-b0.5,second-layer,earth-late,1,0.5,665,425,red,score,250,0,0,0
T5B7-T5B6-r1-b0.75,second-layer,earth-late,1,0.75,325,800,blue,score,0,250,0,0
T5B7-T5B6-r1-b1,second-layer,earth-late,1,1,835,345,red,score,250,0,0,0
T5B8-T5B5-r0.5-b1,score-adaptive,mustika-fast,0.5,1,405,605,blue,score,0,250,0,0
T5B8-T5B5-r0.75-b1,score-adaptive,mustika-fast,0.75,1,345,495,blue,score,0,250,0,0
T5B8-T5B5-r1-b0.5,score-adaptive,mustika-fast,1,0.5,375,505,blue,score,0,250,0,0
T5B8-T5B5-r1-b0.75,score-adaptive,mustika-fast,1,0.75,365,650,blue,score,0,250,0,0
T5B8-T5B5-r1-b1,score-adaptive,mustika-fast,1,1,415,630,blue,score,0,250,0,0
T5B8-T5B6-r0.5-b1,score-adaptive,earth-late,0.5,1,390,615,blue,score,250,0,0,0
T5B8-T5B6-r0.75-b1,score-adaptive,earth-late,0.75,1,430,535,blue,score,250,0,0,0
T5B8-T5B6-r1-b0.5,score-adaptive,earth-late,1,0.5,860,255,red,score,250,0,0,0
T5B8-T5B6-r1-b0.75,score-adaptive,earth-late,1,0.75,550,550,blue,mustika-tiebreak,0,250,0,0
T5B8-T5B6-r1-b1,score-adaptive,earth-late,1,1,655,465,red,score,250,0,0,0
T5B9-T5B5-r0.5-b1,endgame,mustika-fast,0.5,1,225,535,blue,score,0,250,0,0
T5B9-T5B5-r0.75-b1,endgame,mustika-fast,0.75,1,490,330,red,score,250,0,1,0
T5B9-T5B5-r1-b0.5,endgame,mustika-fast,1,0.5,295,500,blue,score,0,250,0,0
T5B9-T5B5-r1-b0.75,endgame,mustika-fast,1,0.75,335,530,blue,score,0,250,0,0
T5B9-T5B5-r1-b1,endgame,mustika-fast,1,1,495,350,red,score,250,0,1,0
T5B9-T5B6-r0.5-b1,endgame,earth-late,0.5,1,615,430,red,score,250,0,0,0
T5B9-T5B6-r0.75-b1,endgame,earth-late,0.75,1,660,510,red,score,250,0,0,0
T5B9-T5B6-r1-b0.5,endgame,earth-late,1,0.5,535,405,red,score,250,0,1,0
T5B9-T5B6-r1-b0.75,endgame,earth-late,1,0.75,550,485,red,score,250,0,0,0
T5B9-T5B6-r1-b1,endgame,earth-late,1,1,640,510,red,score,250,0,1,0
