run,team,speed,opponent_speed,score,opponent_score,sanctuary,mustika_move,mustika_pickup,mustika_unload,mustika_enshrine,build_1,build_2,scan_seconds,blocked_seconds,tr_full_stock_wait,tr_mustika_wait,br_no_gain_decisions,flips,retries
balanced-r1-b1,red,1,1,485,190,88.4,102.75,110,158.35,,0,6,48.25,2.05,55.2,40.8,4,3,0
balanced-r1-b1,blue,1,1,190,485,,,,,,1,5,49.8,5.9,47,0,4,2,0
balanced-r0.75-b1,red,0.75,1,215,460,133.1,,,,,1,4,45,6.9,50.3,0,3,3,0
balanced-r0.75-b1,blue,1,0.75,460,215,123.4,160.85,167.95,,,0,6,48,3.1,52.25,6.8,3,4,0
balanced-r1-b0.75,red,1,0.75,350,340,93.35,160.5,167.7,,,0,6,48,5.1,51.8,7,4,3,1
balanced-r1-b0.75,blue,0.75,1,340,350,170.1,,,,,0,5,45.9,0,53.55,0,4,3,0
balanced-r0.5-b1,red,0.5,1,320,370,178.95,,,,,1,5,42,6.8,30.4,0,4,2,1
balanced-r0.5-b1,blue,1,0.5,370,320,129.55,169.1,176.2,,,2,5,48,5.05,52.5,0,3,2,1
balanced-r1-b0.5,red,1,0.5,430,245,115.7,163.8,171.05,,,2,5,48,1.05,52.3,3.65,3,3,0
balanced-r1-b0.5,blue,0.5,1,245,430,170.25,,,,,1,3,42,0,33.95,0,4,3,0
e3-e1s2-r1-b1,red,1,1,540,210,148.4,,,,,1,5,42,4.9,29.15,0,1,3,0
e3-e1s2-r1-b1,blue,1,1,210,540,101.4,159.9,167.1,,,1,6,46.4,7.2,58.5,7.65,2,2,1
e3-e1s2-r0.75-b1,red,0.75,1,325,410,108.65,,,,,1,5,40.8,0.45,60.95,0,0,3,0
e3-e1s2-r0.75-b1,blue,1,0.75,410,325,153.7,,,,,2,4,42,0,48.85,0,1,3,0
e3-e1s2-r1-b0.75,red,1,0.75,410,325,154.35,,,,,2,4,42,0,48.1,0,1,3,0
e3-e1s2-r1-b0.75,blue,0.75,1,325,410,108.15,,,,,1,5,41.65,0.3,62.7,0,0,3,0
e3-e1s2-r0.5-b1,red,0.5,1,300,410,117,,,,,1,5,33,0,44.15,0,0,3,0
e3-e1s2-r0.5-b1,blue,1,0.5,410,300,111.6,125.25,132.35,,,2,4,42,0,59.95,42.4,1,3,0
e3-e1s2-r1-b0.5,red,1,0.5,410,300,112.1,126.4,133.65,,,2,4,42,0,59.6,41.05,1,3,0
e3-e1s2-r1-b0.5,blue,0.5,1,300,410,116.5,,,,,1,5,33,0,43.5,0,0,3,0
