run,team,speed,opponent_speed,score,opponent_score,sanctuary,mustika_move,mustika_pickup,mustika_unload,mustika_enshrine,build_1,build_2,scan_seconds,blocked_seconds,tr_full_stock_wait,tr_mustika_wait,br_no_gain_decisions,flips,retries,mustika_handoff,handoff_wait
adaptive-r1-b1,red,1,1,505,325,89.25,105.65,112.95,,144.65,0,4,57,3.25,0,0,0,2,0,133.4,15.1
adaptive-r1-b1,blue,1,1,325,505,115.7,,,,,0,4,51.3,6.3,0,0,0,2,0,,0
adaptive-r0.75-b1,red,0.75,1,260,525,154.5,,,,,0,3,69,0,0,0,0,2,0,,0
adaptive-r0.75-b1,blue,1,0.75,525,260,72.15,74.8,76.35,,98.3,0,4,59.05,0,0,0,0,1,0,87.05,5.4
adaptive-r1-b0.75,red,1,0.75,580,180,71.65,74.05,75.6,,97.8,0,3,57,0,0,0,0,2,0,86.55,5.6
adaptive-r1-b0.75,blue,0.75,1,180,580,152.35,,,,,0,3,67.3,2.05,0,0,0,2,0,,0
adaptive-r0.5-b1,red,0.5,1,180,600,170.15,,,,,0,3,68.35,0,0,0,0,1,0,,0
adaptive-r0.5-b1,blue,1,0.5,600,180,81.45,84.25,85.8,,107.6,0,4,60,0,0,0,0,1,0,96.35,5.25
adaptive-r1-b0.5,red,1,0.5,610,180,81.5,83.65,85.2,,107.65,0,4,58.85,0,0,0,0,1,0,96.4,5.85
adaptive-r1-b0.5,blue,0.5,1,180,610,161.6,,,,,0,3,66.65,0,0,0,0,1,0,,0
adaptive-e3-e1s2-r1-b1,red,1,1,505,325,88.95,89.1,90.65,,146.75,0,5,55.35,8.15,0,0,0,2,1,135.5,39.5
adaptive-e3-e1s2-r1-b1,blue,1,1,325,505,123.4,,,,,1,4,43.4,14.65,0,0,0,2,1,,0
adaptive-e3-e1s2-r0.75-b1,red,0.75,1,180,610,135.55,,,,,0,3,60.1,0,0,0,0,3,0,,0
adaptive-e3-e1s2-r0.75-b1,blue,1,0.75,610,180,67.35,69.8,71.35,,93.35,0,4,48,0,0,0,0,3,0,82.1,5.45
adaptive-e3-e1s2-r1-b0.75,red,1,0.75,530,260,67.25,69.85,71.4,,93.25,0,4,51.65,0,0,0,0,2,0,82,5.25
adaptive-e3-e1s2-r1-b0.75,blue,0.75,1,260,530,135.45,,,,,0,3,60.3,0,0,0,0,3,0,,0
adaptive-e3-e1s2-r0.5-b1,red,0.5,1,260,530,137,,,,,0,2,57,0,0,0,0,3,0,,0
adaptive-e3-e1s2-r0.5-b1,blue,1,0.5,530,260,67.35,69.8,71.35,,93.35,0,4,52,0,0,0,0,2,0,82.1,5.45
adaptive-e3-e1s2-r1-b0.5,red,1,0.5,530,260,67.25,69.85,71.4,,93.25,0,4,51.65,0,0,0,0,2,0,82,5.25
adaptive-e3-e1s2-r1-b0.5,blue,0.5,1,260,530,136.9,,,,,0,2,57,0,0,0,0,3,0,,0
