scope,speed,key,completion_rate,avg_score_at_180,avg_success_at,best_at,cases
schedule,同等,1:E2 | 2:E2+S1/E>S | 3:S1,1,242.59259259259258,80.36616481481475,68.396,540
schedule,同等,1:E2 | 2:E2+S1/S>E | 3:S1,1,242.59259259259258,80.36616481481475,68.396,540
schedule,同等,1:E3 | 2:E1+S1/E>S | 3:S1,1,242.59259259259258,82.94849629629633,68.4,540
schedule,同等,1:E3 | 2:E1+S1/S>E | 3:S1,1,242.59259259259258,82.94849629629633,68.4,540
schedule,同等,1:E2 | 2:E2 | 3:S2,1,242.59259259259258,83.0909444444444,64.115,540
schedule,同等,1:E3 | 2:E1+S2/E>S,1,242.59259259259258,83.96616481481487,71.996,540
schedule,同等,1:E3 | 2:E1+S2/S>E,1,242.59259259259258,83.96616481481487,71.996,540
schedule,同等,1:E2+S1/S>E | 2:E2 | 3:S1,1,242.59259259259258,84.90261481481488,70.016,540
schedule,同等,1:E3 | 2:E1 | 3:S2,1,242.59259259259258,85.25094444444451,67.715,540
schedule,同等,1:E2+S1/E>S | 2:E2 | 3:S1,1,242.59259259259258,85.8062055555556,70.92,540
schedule,同等,1:E3 | 2:S2 | 3:E1,1,242.59259259259258,86.1774481481482,67.715,540
schedule,同等,1:E2+S1/S>E | 2:E2+S1/E>S,1,242.59259259259258,86.26732407407417,74.298,540
schedule,同等,1:E2+S1/S>E | 2:E2+S1/S>E,1,242.59259259259258,86.26732407407417,74.298,540
schedule,同等,1:E2+S1/E>S | 2:E2+S1/E>S,1,242.59259259259258,87.17092037037035,75.201,540
schedule,同等,1:E2+S1/E>S | 2:E2+S1/S>E,1,242.59259259259258,87.17092037037035,75.201,540
schedule,同等,1:E2 | 2:E1+S2/E>S | 3:E1,1,242.59259259259258,87.50589629629619,68.396,540
schedule,同等,1:E2 | 2:E1+S2/S>E | 3:E1,1,242.59259259259258,87.50589629629619,68.396,540
schedule,同等,1:E3 | 2:S1 | 3:E1+S1/E>S,1,242.59259259259258,88.1003277777778,67.715,540
schedule,同等,1:E3 | 2:S1 | 3:E1+S1/S>E,1,242.59259259259258,88.1003277777778,67.715,540
schedule,同等,1:E2 | 2:S2 | 3:E2,1,242.59259259259258,88.82692407407411,78.507,540
schedule,同等,1:E2 | 2:E1+S1/E>S | 3:E1+S1/E>S,1,242.59259259259258,89.04711666666681,67.763,540
schedule,同等,1:E2 | 2:E1+S1/E>S | 3:E1+S1/S>E,1,242.59259259259258,89.04711666666681,67.763,540
schedule,同等,1:E2 | 2:E1+S1/S>E | 3:E1+S1/E>S,1,242.59259259259258,89.04711666666681,67.763,540
schedule,同等,1:E2 | 2:E1+S1/S>E | 3:E1+S1/S>E,1,242.59259259259258,89.04711666666681,67.763,540
schedule,同等,1:E2+S1/S>E | 2:E1 | 3:E1+S1/E>S,1,242.59259259259258,90.62120925925919,70.016,540
schedule,同等,1:E2+S1/S>E | 2:E1 | 3:E1+S1/S>E,1,242.59259259259258,90.62120925925919,70.016,540
schedule,同等,1:E2+S1/S>E | 2:E1+S1/E>S | 3:E1,1,242.59259259259258,90.79230370370368,70.701,540
schedule,同等,1:E2+S1/S>E | 2:E1+S1/S>E | 3:E1,1,242.59259259259258,90.79230370370368,70.701,540
schedule,同等,1:E2+S1/S>E | 2:S1 | 3:E2,1,242.59259259259258,91.12814444444435,80.808,540
schedule,同等,1:E2+S1/E>S | 2:E1 | 3:E1+S1/E>S,1,242.59259259259258,91.52479259259273,70.92,540
schedule,同等,1:E2+S1/E>S | 2:E1 | 3:E1+S1/S>E,1,242.59259259259258,91.52479259259273,70.92,540
schedule,同等,1:E2+S1/E>S | 2:E1+S1/E>S | 3:E1,1,242.59259259259258,91.69589814814826,71.605,540
schedule,同等,1:E2+S1/E>S | 2:E1+S1/S>E | 3:E1,1,242.59259259259258,91.69589814814826,71.605,540
schedule,同等,1:E2 | 2:S1 | 3:E2+S1/E>S,1,242.59259259259258,92.031738888889,81.711,540
schedule,同等,1:E2 | 2:S1 | 3:E2+S1/S>E,1,242.59259259259258,92.031738888889,81.711,540
schedule,同等,1:E2+S1/E>S | 2:S1 | 3:E2,1,242.59259259259258,92.031738888889,81.711,540
schedule,同等,1:E2 | 2:E1 | 3:E1+S2/E>S,1,242.59259259259258,92.39789074074051,82.078,540
schedule,同等,1:E2 | 2:E1 | 3:E1+S2/S>E,1,242.59259259259258,92.39789074074051,82.078,540
schedule,同等,1:S1 | 2:E2 | 3:E2+S1/E>S,1,242.59259259259258,92.77741111111104,80.808,540
schedule,同等,1:S1 | 2:E2 | 3:E2+S1/S>E,1,242.59259259259258,92.77741111111104,80.808,540
schedule,同等,1:E1 | 2:E2 | 3:E1+S2/E>S,1,242.59259259259258,94.0472333333333,82.078,540
schedule,同等,1:E1 | 2:E2 | 3:E1+S2/S>E,1,242.59259259259258,94.0472333333333,82.078,540
schedule,同等,1:S2 | 2:E2 | 3:E2,1,242.59259259259258,95.01270740740735,80.126,540
schedule,同等,1:S1 | 2:E3 | 3:E1+S1/E>S,1,242.59259259259258,95.18864074074068,80.126,540
schedule,同等,1:S1 | 2:E3 | 3:E1+S1/S>E,1,242.59259259259258,95.18864074074068,80.126,540
schedule,同等,1:E1 | 2:E3 | 3:S2,1,242.59259259259258,96.28253703703702,81.396,540
schedule,同等,1:E1+S1/S>E | 2:E1 | 3:E2+S1/E>S,1,242.59259259259258,96.34839074074061,84.379,540
