run,team,speed,opponent_speed,score,opponent_score,sanctuary,mustika_move,mustika_pickup,mustika_unload,mustika_enshrine,build_1,build_2,scan_seconds,blocked_seconds,tr_full_stock_wait,tr_mustika_wait,br_no_gain_decisions,flips,retries,mustika_handoff,handoff_wait
adaptive-r1-b1,red,1,1,160,505,147.9,,,,,0,3,21.25,12.9,0,0,0,4,0,,0
adaptive-r1-b1,blue,1,1,505,160,124.7,125.9,133,,150.7,0,2,19,12.3,0,0,0,5,0,141.45,3.15
adaptive-r0.75-b1,red,0.75,1,210,470,93.35,,,,,0,2,23,0,0,0,0,6,0,,0
adaptive-r0.75-b1,blue,1,0.75,470,210,67.55,70.7,72.25,,89.8,0,3,25,0,0,0,0,5,0,80.55,3
adaptive-r1-b0.75,red,1,0.75,470,205,69.15,72,73.55,,91.4,0,3,27,1,0,0,0,4,0,82.15,3.25
adaptive-r1-b0.75,blue,0.75,1,205,470,140.65,,,,,0,3,22.5,5.15,0,0,0,5,0,,0
adaptive-r0.5-b1,red,0.5,1,250,390,151.75,,,,,0,1,20,14.15,0,0,0,4,1,,0
adaptive-r0.5-b1,blue,1,0.5,390,250,75.65,78.25,79.8,,97.9,0,3,27,12.9,0,0,0,2,2,88.65,3.55
adaptive-r1-b0.5,red,1,0.5,500,125,76.8,80.55,82.1,,101.15,0,2,31.85,3.05,0,0,0,4,0,91.9,4.45
adaptive-r1-b0.5,blue,0.5,1,125,500,111.05,,,,,0,2,24,1,0,0,0,4,0,,0
adaptive-e3-e1s2-r1-b1,red,1,1,465,155,82,84.75,86.3,,104.25,0,3,28,0.1,14.05,0,0,4,0,95,3.35
adaptive-e3-e1s2-r1-b1,blue,1,1,155,465,113.25,,,,,0,1,42,0,14.35,0,0,5,0,,0
adaptive-e3-e1s2-r0.75-b1,red,0.75,1,430,155,88.8,93.1,94.65,,114.75,0,2,28.75,4.9,15.7,0,0,3,1,104.75,3.9
adaptive-e3-e1s2-r0.75-b1,blue,1,0.75,155,430,114.3,,,,,0,1,43,4.95,14.35,0,0,4,1,,0
adaptive-e3-e1s2-r1-b0.75,red,1,0.75,420,155,82,84.75,86.3,,104.25,0,2,31,4.45,14.05,0,0,4,0,95,3.35
adaptive-e3-e1s2-r1-b0.75,blue,0.75,1,155,420,109.55,,,,,0,1,36,2.95,16,0,0,5,0,,0
adaptive-e3-e1s2-r0.5-b1,red,0.5,1,170,155,100.45,,,,,0,2,37.4,0,17.05,0,0,2,0,,0
adaptive-e3-e1s2-r0.5-b1,blue,1,0.5,155,170,132.05,,,,,0,1,49.55,0,14.35,0,0,3,0,,0
adaptive-e3-e1s2-r1-b0.5,red,1,0.5,460,155,82,84.75,86.3,,104.25,0,3,33,0,14.05,0,0,3,0,95,3.35
adaptive-e3-e1s2-r1-b0.5,blue,0.5,1,155,460,,,,,,0,1,34.1,1.05,17.4,0,0,4,0,,0
