run,team,speed,opponent_speed,score,opponent_score,sanctuary,mustika_move,mustika_pickup,mustika_unload,mustika_enshrine,build_1,build_2,scan_seconds,blocked_seconds,tr_full_stock_wait,tr_mustika_wait,br_no_gain_decisions,flips,retries,mustika_handoff,handoff_wait
adaptive-r1-b1,red,1,1,160,505,147.9,,,,,0,3,21.25,12.9,0,0,0,4,0,,0
adaptive-r1-b1,blue,1,1,505,160,124.7,125.9,133,,150.7,0,2,19,12.3,0,0,0,5,0,141.45,3.15
adaptive-r0.75-b1,red,0.75,1,210,470,93.35,,,,,0,2,23,0,0,0,0,6,0,,0
adaptive-r0.75-b1,blue,1,0.75,470,210,67.55,70.7,72.25,,89.8,0,3,25,0,0,0,0,5,0,80.55,3
adaptive-r1-b0.75,red,1,0.75,470,205,69.15,72,73.55,,91.4,0,3,27,1,0,0,0,4,0,82.15,3.25
adaptive-r1-b0.75,blue,0.75,1,205,470,140.65,,,,,0,3,22.5,5.15,0,0,0,5,0,,0
adaptive-r0.5-b1,red,0.5,1,250,390,151.75,,,,,0,1,20,14.15,0,0,0,4,1,,0
adaptive-r0.5-b1,blue,1,0.5,390,250,75.65,78.25,79.8,,97.9,0,3,27,12.9,0,0,0,2,2,88.65,3.55
adaptive-r1-b0.5,red,1,0.5,430,170,76.8,80.5,82.05,,101.15,0,2,25.3,12.9,0,0,0,4,0,91.9,4.5
adaptive-r1-b0.5,blue,0.5,1,170,430,111.05,,,,,0,1,20,6.95,0,0,0,5,0,,0
adaptive-e3-e1s2-r1-b1,red,1,1,425,240,104.9,115.15,122.4,,140.1,0,2,29,4.45,14.05,0,0,4,0,130.85,3.1
adaptive-e3-e1s2-r1-b1,blue,1,1,240,425,137.25,,,,,0,3,24,9.75,14.35,0,0,4,0,,0
adaptive-e3-e1s2-r0.75-b1,red,0.75,1,170,430,117,,,,,0,2,25,7.5,15.7,0,0,5,0,,0
adaptive-e3-e1s2-r0.75-b1,blue,1,0.75,430,170,80.85,84.5,86.05,,105.2,0,2,27,9.1,14.35,0,0,4,0,95.95,4.6
adaptive-e3-e1s2-r1-b0.75,red,1,0.75,430,170,82,84.7,86.25,,104.25,0,2,26,24.15,14.05,0,0,2,2,95,3.4
adaptive-e3-e1s2-r1-b0.75,blue,0.75,1,170,430,,,,,,0,2,25,19.75,16,0,0,3,2,,0
adaptive-e3-e1s2-r0.5-b1,red,0.5,1,210,470,108.1,,,,,0,2,24,4.2,17.05,0,0,4,0,,0
adaptive-e3-e1s2-r0.5-b1,blue,1,0.5,470,210,80.85,84.5,86.05,,105.2,0,3,28,7.1,14.35,0,0,3,0,95.95,4.6
adaptive-e3-e1s2-r1-b0.5,red,1,0.5,550,130,82,84.7,86.25,,104.25,0,3,28,0,14.05,0,0,4,0,95,3.4
adaptive-e3-e1s2-r1-b0.5,blue,0.5,1,130,550,126.75,,,,,0,2,25.9,1.05,17.4,0,0,4,0,,0
