case_id,speed,red_speed_factor,scenario,shared,own,plan,first_tr,tr_schedule,first_br,sanctuary_at,mustika_at,mustika_mode,red_score_at_180,blue_score_at_180,score_diff,red_tower_at_180,blue_tower_at_180,red_transfer_at_180,blue_transfer_at_180,red_mustika_at_180,completed,mustika_completed,invalid_count
1,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,113.899,137.619,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
2,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,113.533,137.252,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
3,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,113.899,137.619,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
4,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,113.494,137.213,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
5,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / 赤L1上:E1,113.899,137.619,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
6,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / 赤L1上:E1,117.764,141.484,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
7,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / 赤L1上:E1,117.359,141.078,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
8,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / 赤L1上:E1,117.398,141.117,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
9,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / 赤L1上:E1,116.992,140.711,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
10,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / 赤L1上:E1,113.861,137.580,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
11,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / L1共有上:E1,113.533,137.252,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
12,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / L1共有上:E1,117.398,141.117,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
13,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / L1共有上:E1,116.992,140.711,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
14,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / L1共有上:E1,117.031,140.750,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
15,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / L1共有上:E1,116.625,140.345,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
16,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / L1共有上:E1,113.494,137.213,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
17,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / 赤L1上:E2,113.899,137.619,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
18,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / 赤L1上:E2,113.494,137.213,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
19,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / 赤L1上:E2,113.861,137.580,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
20,同等,1,自力2本完成,L1共有上,赤L1上,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,赤L1上:E1 / 赤L1上:E2,113.494,137.213,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
21,同等,1,自力2本完成,L1共有上,赤L1下,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,113.313,137.032,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
22,同等,1,自力2本完成,L1共有上,赤L1下,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,114.413,138.133,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
23,同等,1,自力2本完成,L1共有上,赤L1下,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,113.313,137.032,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
24,同等,1,自力2本完成,L1共有上,赤L1下,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / L1共有上:E2,112.914,136.634,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
25,同等,1,自力2本完成,L1共有上,赤L1下,共有1本+赤専有1本を自力完成,S1,1:S1 | 2:E1+S1/E>S | 3:E3,L1共有上:E1 / 赤L1下:E1,113.313,137.032,TR Mustika前待機,420,0,420,140,0,30,0,250,true,true,0
