run,team,speed,opponent_speed,score,opponent_score,sanctuary,mustika_move,mustika_pickup,mustika_unload,mustika_enshrine,build_1,build_2,scan_seconds,blocked_seconds,tr_full_stock_wait,tr_mustika_wait,br_no_gain_decisions,flips,retries,mustika_handoff,handoff_wait
mustika-fast-vs-mustika-fast-r1,red,1,1,535,390,93.6,104.5,111.75,,130.45,0,4,37,0,0,0,0,3,0,121.2,4.1
mustika-fast-vs-mustika-fast-r1,blue,1,1,390,535,96,106.45,,,,0,6,30,0,0,0,0,2,0,,0
mustika-fast-vs-mustika-fast-r0.75,red,0.75,1,305,560,100.45,113.2,,,,0,5,35,0,0,0,0,1,0,,0
mustika-fast-vs-mustika-fast-r0.75,blue,1,0.75,560,305,93.9,107.65,114.8,,133.3,0,5,35,0,0,0,0,1,0,124.05,3.95
mustika-fast-vs-mustika-fast-r0.5,red,0.5,1,490,335,102.25,103.05,112.85,,136.65,0,3,33.35,0,0,0,0,2,0,124.9,4.4
mustika-fast-vs-mustika-fast-r0.5,blue,1,0.5,335,490,93.9,107.65,,,,0,6,32,0,0,0,0,1,0,,0
mustika-fast-vs-earth-late-r1,red,1,1,550,415,77.4,78.25,85.5,,103.65,0,4,27,2,0,0,0,3,0,94.4,3.55
mustika-fast-vs-earth-late-r1,blue,1,1,415,550,123.95,,,,,0,5,24,2,0,0,0,3,0,,0
mustika-fast-vs-earth-late-r0.75,red,0.75,1,550,415,78.1,83.7,91.9,,112.25,0,4,29.35,0,0,0,0,2,0,102.25,4.15
mustika-fast-vs-earth-late-r0.75,blue,1,0.75,415,550,128.15,,,,,0,5,26,0,0,0,0,2,0,,0
mustika-fast-vs-earth-late-r0.5,red,0.5,1,450,500,94.35,103.05,112.85,,136.4,0,3,34,0,0,0,0,1,0,124.65,4.15
mustika-fast-vs-earth-late-r0.5,blue,1,0.5,500,450,123.95,,,,,0,6,27,0,0.1,0,0,1,0,,0
earth-late-vs-mustika-fast-r1,red,1,1,355,710,122.5,,,,,0,6,24.75,0.05,0,0,0,1,0,,0
earth-late-vs-mustika-fast-r1,blue,1,1,710,355,76.5,80.4,87.5,,106.95,0,4,29,0,0,0,0,3,0,97.7,4.9
earth-late-vs-mustika-fast-r0.75,red,0.75,1,365,655,114.15,,,,,0,5,25,0,0,0,0,2,0,,0
earth-late-vs-mustika-fast-r0.75,blue,1,0.75,655,365,86.6,86.7,88.25,,106.35,0,5,27,0,0,0,0,2,0,97.1,3.55
earth-late-vs-mustika-fast-r0.5,red,0.5,1,295,605,98.4,,,,,0,5,19,0,0,0,0,3,0,,0
earth-late-vs-mustika-fast-r0.5,blue,1,0.5,605,295,86.6,86.7,88.25,,106.35,0,5,26,0,0,0,0,3,0,97.1,3.55
earth-late-vs-earth-late-r1,red,1,1,720,380,110.45,116.9,124.15,,143.5,0,5,25,1.7,0,0,0,3,0,134.25,4.75
earth-late-vs-earth-late-r1,blue,1,1,380,720,112.2,118.45,,,,0,6,26,1,0,0,0,2,0,,0
earth-late-vs-earth-late-r0.75,red,0.75,1,425,645,141.5,,,,,0,5,25,0,0,0,0,2,0,,0
earth-late-vs-earth-late-r0.75,blue,1,0.75,645,425,106.4,113,120.1,,138.95,0,4,29.5,0,0,0,0,3,0,129.7,4.3
earth-late-vs-earth-late-r0.5,red,0.5,1,410,490,102.9,107.45,109,,132.35,0,3,23.9,0,0,0,0,2,0,120.6,3.95
earth-late-vs-earth-late-r0.5,blue,1,0.5,490,410,151.95,,,,,0,5,24.25,0,0,0,0,3,0,,0
