run,team,speed,opponent_speed,score,opponent_score,sanctuary,mustika_move,mustika_pickup,mustika_unload,mustika_enshrine,build_1,build_2,scan_seconds,blocked_seconds,tr_full_stock_wait,tr_mustika_wait,br_no_gain_decisions,flips,retries,mustika_handoff,handoff_wait
mustika-fast-vs-mustika-fast-r1,red,1,1,495,310,93.6,104.5,111.75,,130.45,0,4,35,0,0,0,0,4,0,121.2,4.1
mustika-fast-vs-mustika-fast-r1,blue,1,1,310,495,96,106.45,,,,0,5,32,0,0,0,0,4,0,,0
mustika-fast-vs-mustika-fast-r0.75,red,0.75,1,540,370,100.45,113.15,121.35,,142.45,0,5,31,0,0.05,0,0,1,0,132.45,4.9
mustika-fast-vs-mustika-fast-r0.75,blue,1,0.75,370,540,110.25,115.35,,,,0,7,34,0,0,0,0,3,0,,0
mustika-fast-vs-mustika-fast-r0.5,red,0.5,1,225,535,94.5,103.7,,,,0,4,35,0,0,0,0,1,0,,0
mustika-fast-vs-mustika-fast-r0.5,blue,1,0.5,535,225,103.2,106.35,107.9,,127.15,0,4,38,0,0,0,0,2,0,117.9,4.7
mustika-fast-vs-earth-late-r1,red,1,1,710,430,74.3,78.25,85.5,,104.75,0,5,30,0,0,0,0,2,0,95.5,4.65
mustika-fast-vs-earth-late-r1,blue,1,1,430,710,168.75,,,,,0,6,25.15,0,0,0,0,0,0,,0
mustika-fast-vs-earth-late-r0.75,red,0.75,1,710,430,78.1,83.7,91.9,,112.25,0,4,28,5.25,0,0,0,2,0,102.25,4.15
mustika-fast-vs-earth-late-r0.75,blue,1,0.75,430,710,,,,,,0,6,23,4.05,0,0,0,0,0,,0
mustika-fast-vs-earth-late-r0.5,red,0.5,1,580,430,89.05,95.4,105.2,,129,0,3,30,0,0,0,0,2,0,117.25,4.4
mustika-fast-vs-earth-late-r0.5,blue,1,0.5,430,580,,,,,,0,6,23,3.15,0,0,0,0,0,,0
earth-late-vs-mustika-fast-r1,red,1,1,350,790,,,,,,0,6,25,0,0,0,0,0,0,,0
earth-late-vs-mustika-fast-r1,blue,1,1,790,350,76.5,80.4,87.5,,106.95,0,4,30,0,0,0,0,3,0,97.7,4.9
earth-late-vs-mustika-fast-r0.75,red,0.75,1,485,615,173.7,,,,,0,5,23.7,0,0,0,0,2,0,,0
earth-late-vs-mustika-fast-r0.75,blue,1,0.75,615,485,80.6,80.7,82.25,,100.55,0,5,27,0,0,0,0,2,0,91.3,3.75
earth-late-vs-mustika-fast-r0.5,red,0.5,1,405,605,96.5,,,,,0,4,18,0,0,0,0,3,0,,0
earth-late-vs-mustika-fast-r0.5,blue,1,0.5,605,405,86.6,86.7,88.25,,106.35,0,5,26.5,0.05,0,0,0,3,0,97.1,3.55
earth-late-vs-earth-late-r1,red,1,1,685,435,118.85,133.45,140.7,,159.2,1,5,24,3.5,0,0,0,2,0,149.95,3.9
earth-late-vs-earth-late-r1,blue,1,1,435,685,120,135,,,,1,5,27,4.95,0.35,0,0,2,0,,0
earth-late-vs-earth-late-r0.75,red,0.75,1,800,325,86.85,90.4,91.95,,112.6,0,4,23,0,0,0,0,5,0,102.6,4.45
earth-late-vs-earth-late-r0.75,blue,1,0.75,325,800,119.1,,,,,0,6,24,0,0.8,0,0,2,0,,0
earth-late-vs-earth-late-r0.5,red,0.5,1,685,385,101.6,107.45,109,,133.15,0,3,22,0,0,0,0,4,0,121.4,4.75
earth-late-vs-earth-late-r0.5,blue,1,0.5,385,685,116.3,,,,,0,6,25.25,0,0,0,0,2,0,,0
